City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Jamestown,US,86.29,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
130,Pevek,RU,47.1,scattered clouds,69.7008,170.3133,Hotel ABC
131,Key West,US,87.8,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
132,San Lorenzo,PY,68.94,broken clouds,-25.3333,-57.5333,Hotel del Sur
133,Nuuk,GL,45.21,light snow,64.1835,-51.7216,Vandrehuset
134,Codrington,AU,55.99,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
135,Williston,US,74.77,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
136,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
137,Oktyabrskoye,RU,57.34,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
138,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
139,Santa Fe,AR,61.92,clear sky,-31.6333,-60.7,Conquistador Hotel
140,Najran,SA,82.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
141,Alihe,CN,47.37,scattered clouds,50.5667,123.7167,Alihe Forestry Hotel
142,Fortuna,US,70.2,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
144,Airai,TL,55.06,broken clouds,-8.9266,125.4092,Juvinal Martin
145,Marfino,RU,62.74,clear sky,55.7028,37.3822,Nemchinovka-Park
146,Nikolskoye,RU,62.49,scattered clouds,59.7035,30.7861,Tourist House - Sablino
147,Yatou,CN,68.02,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
148,Hobyo,SO,78.87,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
149,Umm Lajj,SA,84.22,clear sky,25.0213,37.2685,Moon light Furnished Units
150,Port Hardy,CA,51.51,overcast clouds,50.6996,-127.4199,Airport Inn
151,Christchurch,NZ,48.99,heavy intensity drizzle,-43.5333,172.6333,YMCA Christchurch
152,Tuatapere,NZ,40.93,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
154,Dunedin,NZ,44.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
155,Belawan,ID,77.29,overcast clouds,3.7755,98.6832,Lilik Hidayat Pulungan
156,Cairns,AU,69.75,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
157,Yelizovo,RU,42.94,light rain,53.1873,158.3805,Kamchatskiy Stil' Hostel
158,Vao,NC,70.21,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
160,Chuy,UY,54.05,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
161,Kavieng,PG,81.34,light rain,-2.5744,150.7967,Nusa Island Retreat
162,Marsa Matruh,EG,70.61,clear sky,31.3525,27.2453,Beau Site
164,Lasa,IT,60.71,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
165,Peniche,PT,64.72,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
167,Necochea,AR,54.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
170,Bluff,NZ,46.9,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
171,Port Lincoln,AU,60.3,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
172,Oktyabrskiy,RU,55.87,clear sky,54.4815,53.471,Уязы-Тау гостиница
173,Goderich,CA,87.21,few clouds,43.7501,-81.7165,Harmony Inn
174,Siderno,IT,75.34,overcast clouds,38.2779,16.302,Grand Hotel President
178,Cidreira,BR,63.18,moderate rain,-30.1811,-50.2056,Hotel Castelo
179,Berck,FR,60.51,overcast clouds,50.4,1.6,Hôtel Régina & Spa
180,Bull Savanna,JM,84.27,few clouds,17.8868,-77.5902,Big Red's
182,Youghal,IE,57.99,overcast clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
184,Imbituba,BR,67.89,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
185,Marawi,PH,63.64,overcast clouds,7.9986,124.2928,Derogongan Residence
186,Narsaq,GL,55.62,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
188,Husavik,IS,53.69,overcast clouds,66.0449,-17.3389,Bjarnabúð
189,Kirakira,SB,79.45,moderate rain,-10.4544,161.9205,SanBiz Lodge
190,Bereda,ES,60.55,scattered clouds,43.2686,-7.5406,Pazo de Verdes
191,Hobart,AU,54.27,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
192,Cervo,ES,61.2,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
194,Hervey Bay,AU,56.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
195,Shorapani,GE,54.99,overcast clouds,42.0898,43.0866,LaBe Family Hostel
197,Safaga,EG,84.18,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
200,Selizharovo,RU,58.53,scattered clouds,56.8519,33.4487,Cottage in Kubyshkino
201,Alghero,IT,66.99,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
203,Esna,EG,86.16,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
204,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
205,Hofn,IS,47.35,overcast clouds,64.2539,-15.2082,Hótel Höfn
206,Xuddur,SO,76.26,broken clouds,4.1213,43.8894,Banjanay Hotel
207,Vanimo,PG,77.02,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
208,Dayong,CN,73.08,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
210,Auki,SB,77.63,clear sky,-8.7676,160.7034,Auki Motel
211,Dingle,PH,75.72,light rain,10.9995,122.6711,SEGAYA PROPERTY
212,Sokoni,TZ,79.0,clear sky,-6.4333,39.55,Ujamaa Beach Resort
213,Vila Franca Do Campo,PT,66.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
214,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
