City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Helong,CN,6/5/21 20:29,42.5397,128.9972,48.85,90,21,6.08
270,Broome,US,6/5/21 20:29,42.2506,-75.833,89.71,40,1,5.99
271,Ambon,ID,6/5/21 20:29,-3.6954,128.1814,77.14,94,40,13.15
272,Nabire,ID,6/5/21 20:25,-3.3667,135.4833,75.07,92,100,3.44
273,Jacareacanga,BR,6/5/21 20:29,-6.2222,-57.7528,85.48,60,94,2.64
274,Kommunisticheskiy,RU,6/5/21 20:29,61.6789,64.4819,55.69,66,64,3.09
275,Joshimath,IN,6/5/21 20:29,30.5667,79.5667,62.38,62,23,5.77
276,Stuttgart,DE,6/5/21 20:25,48.7823,9.177,64.54,90,75,5.03
277,Flinders,AU,6/5/21 20:28,-34.5833,150.8552,50.2,61,1,5.01
278,Quatre Cocos,MU,6/5/21 20:27,-20.2078,57.7625,68.11,77,7,5.79
279,Lagoa,PT,6/5/21 20:29,39.05,-27.9833,63.59,77,7,2.77
280,Valley,US,6/5/21 20:29,45.1277,-116.1262,63.21,22,0,15.64
281,Oistins,BB,6/5/21 20:29,13.0667,-59.5333,82.49,65,40,18.41
282,Seoul,KR,6/5/21 20:25,37.5683,126.9778,65.8,82,75,3.89
283,Paita,PE,6/5/21 20:29,-5.0892,-81.1144,75.76,70,100,15.9
284,Ranong,TH,6/5/21 20:29,9.9658,98.6348,80.1,85,100,9.95
285,Cap Malheureux,MU,6/5/21 20:29,-19.9842,57.6142,68.49,71,6,8.57
286,Kismayo,SO,6/5/21 20:26,-0.3582,42.5454,78.53,81,71,14.65
287,Carinhanha,BR,6/5/21 20:29,-14.3047,-43.765,85.84,31,37,7.25
288,Kysyl-Syr,RU,6/5/21 20:30,63.8986,122.7617,46.65,80,100,3.51
289,Pahrump,US,6/5/21 20:28,36.2083,-115.9839,107.06,6,0,7
290,Fallon,US,6/5/21 20:30,39.4735,-118.7774,93.45,9,75,4.61
291,Lujan,AR,6/5/21 20:30,-34.5703,-59.105,64.02,54,23,6.46
292,Nuuk,GL,6/5/21 20:26,64.1835,-51.7216,43.41,81,75,23.02
293,Deputatskiy,RU,6/5/21 20:30,69.3,139.9,35.94,91,100,8.12
294,Ryotsu,JP,6/5/21 20:30,38.0833,138.4333,64.78,63,100,6.46
295,Namwala,ZM,6/5/21 20:30,-15.7504,26.4384,55.2,65,24,4.97
296,Raudeberg,NO,6/5/21 20:30,61.9875,5.1352,58.19,94,100,1.32
297,Gizo,SB,6/5/21 20:30,-8.103,156.8419,81.68,77,98,5.08
298,Sao Filipe,CV,6/5/21 20:30,14.8961,-24.4956,76.87,67,91,13
299,Souillac,MU,6/5/21 20:26,-20.5167,57.5167,68.38,94,20,5.66
300,Buraydah,SA,6/5/21 20:26,26.326,43.975,97.25,8,59,4.38
301,Kyle,US,6/5/21 20:30,29.9984,-97.8715,86,74,1,7.16
302,Chara,RU,6/5/21 20:30,56.9064,118.2631,63.7,42,99,1.83
303,Lar,IN,6/5/21 20:30,26.2039,83.9717,89.13,46,61,6.49
